No.,TP,Time,Reactor,Condition,Group,Cell Line,Type,Date Isolated,Tube Label,A260/280,Tapestation Concentration,DIN
1,5,48,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 48H E13,1.888,45.4,9.9
3,5,48,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 48H E15,1.869,50.7,9.9
65,5,48,E17,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 48H E17,1.881,68,9.8
67,5,48,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 48H E19,1.885,39.7,9.9
2,5,48,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 48H E14,1.874,60.2,9.9
4,5,48,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 48H E16,1.892,30.9,9.9
66,5,48,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 48H E18,1.885,45.8,9.9
68,5,48,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 48H E20,1.891,55.4,9.9
5,7,72,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 72H E13,1.881,42.5,9.9
7,7,72,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 72H E15,1.88,50,9.9
69,7,72,E17,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 72H E17,1.878,48.8,9.9
71,7,72,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 72H E19,1.885,62.5,9.9
6,7,72,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 72H E14,1.878,52.9,9.9
8,7,72,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 72H E16,1.879,52.3,9.9
70,7,72,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 72H E18,1.895,42.7,9.9
72,7,72,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 72H E20,1.877,80.9,9.9
9,11,96,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 96H E13,1.882,40.5,9.9
11,11,96,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 96H E15,1.899,25.2,9.8
73,11,96,E17,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 96H E17,1.872,54.8,9.9
75,11,96,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 96H E19,1.869,53.9,9.9
10,11,96,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 96H E14,1.89,47.4,9.8
12,11,96,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 96H E16,1.892,35.7,9.8
74,11,96,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 96H E18,1.871,59.1,9.9
76,11,96,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 96H E20,1.894,38.5,9.9
13,14,120,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 120H E13,1.887,34,9.9
15,14,120,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 120H E15,1.892,47.1,9.9
77,14,120,E17,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 120H E17,1.889,49.4,9.9
79,14,120,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 120H E19,1.874,52.5,9.9
14,14,120,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 120H E14,1.884,31,9.9
16,14,120,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 120H E16,1.884,55.3,9.9
78,14,120,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 120H E18,1.883,50.4,9.9
80,14,120,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 120H E20,1.889,41.5,9.9
17,18,144,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 144H E13,1.877,56.7,9.9
19,18,144,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 144H E15,1.891,28.6,9.9
81,18,144,E17,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 144H E17,1.872,51.6,9.9
83,18,144,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 144H E19,1.87,50.6,9.9
18,18,144,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 144H E14,1.923,43.9,9.9
20,18,144,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 144H E16,1.855,56.4,9.9
82,18,144,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 144H E18,1.869,50.4,9.9
84,18,144,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 144H E20,1.881,50.9,9.9
21,21,168,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 168H E13,1.867,35.4,9.9
23,21,168,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 168H E15,1.854,41.9,9.9
85,21,168,E17,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 168H E17,1.87,54.5,9.9
87,21,168,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 168H E19,1.882,45.1,9.9
22,21,168,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 168H E14,1.855,50.7,9.9
24,21,168,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 168H E16,1.871,42.4,9.9
86,21,168,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 168H E18,1.872,27.7,9.9
88,21,168,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 168H E20,1.88,45.4,9.9
25,25,192,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 192H E13,1.869,35.1,9.9
27,25,192,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 192H E15,1.874,42.9,9.8
89,25,192,E17,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 192H E17,1.884,45.5,9.9
91,25,192,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 192H E19,1.876,54.2,9.9
26,25,192,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 192H E14,1.871,44.5,9.9
28,25,192,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 192H E16,1.864,41.9,9.9
90,25,192,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO CHARRUN2 192H E18,1.877,39.5,9.9
92,25,192,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 192H E20,1.861,39.8,9.9
29,28,216,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-04,NIST CHO BR24 216H E13,1.852,63.1,9.8
31,28,216,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 216H E15,1.861,45.1,9.9
