Sample.ID,Corrected Sample ID,Reactor,Time Point,Phase,Time
TP01_9 MaxLFQ Intensity,1,E09,TP01,Exponential,-60
TP01_10 MaxLFQ Intensity,2,E10,TP01,Exponential,-60
TP01_12 MaxLFQ Intensity,3,E12,TP01,Exponential,-60
TP02_9 MaxLFQ Intensity,4,E09,TP02,Exponential,15
TP02_10 MaxLFQ Intensity,5,E10,TP02,Exponential,15
TP02_12 MaxLFQ Intensity,6,E12,TP02,Exponential,15
TP03_9 MaxLFQ Intensity,7,E09,TP03,Exponential,60
TP03_10 MaxLFQ Intensity,8,E10,TP03,Exponential,60
TP03_12 MaxLFQ Intensity,9,E12,TP03,Exponential,60
TP04_9 MaxLFQ Intensity,10,E09,TP04,Exponential,90
TP04_10 MaxLFQ Intensity,11,E10,TP04,Exponential,90
TP04_12 MaxLFQ Intensity,12,E12,TP04,Exponential,90
TP05_9 MaxLFQ Intensity,13,E09,TP05,Exponential,120
TP05_10 MaxLFQ Intensity,14,E10,TP05,Exponential,120
TP05_12 MaxLFQ Intensity,15,E12,TP05,Exponential,120
TP06_9 MaxLFQ Intensity,16,E09,TP06,Exponential,240
TP06_10 MaxLFQ Intensity,17,E10,TP06,Exponential,240
TP06_12 MaxLFQ Intensity,18,E12,TP06,Exponential,240
TP07_9 MaxLFQ Intensity,19,E09,TP07,Stationary,-60
TP07_10 MaxLFQ Intensity,20,E10,TP07,Stationary,-60
TP07_12 MaxLFQ Intensity,21,E12,TP07,Stationary,-60
TP08_9 MaxLFQ Intensity,22,E09,TP08,Stationary,15
TP08_10 MaxLFQ Intensity,23,E10,TP08,Stationary,15
TP08_12 MaxLFQ Intensity,24,E12,TP08,Stationary,15
TP09_9 MaxLFQ Intensity,25,E09,TP09,Stationary,60
TP09_10 MaxLFQ Intensity,26,E10,TP09,Stationary,60
TP09_12 MaxLFQ Intensity,27,E12,TP09,Stationary,60
TP10_9 MaxLFQ Intensity,28,E09,TP10,Stationary,90
TP10_10 MaxLFQ Intensity,29,E10,TP10,Stationary,90
TP10_12 MaxLFQ Intensity,30,E12,TP10,Stationary,90
TP11_9 MaxLFQ Intensity,31,E09,TP11,Stationary,120
TP11_10 MaxLFQ Intensity,32,E10,TP11,Stationary,120
TP11_12 MaxLFQ Intensity,33,E12,TP11,Stationary,120
TP12_9 MaxLFQ Intensity,34,E09,TP12,Stationary,240
TP12_10 MaxLFQ Intensity,35,E10,TP12,Stationary,240
TP12_12 MaxLFQ Intensity,36,E12,TP12,Stationary,240
